Janitor 40 Male Married $44089
$0 11 Student Female Single
Female 41 Cashier Married $57107
Married Female $55306 48 Janitor
Unemployed 1 Male Single $0
Single Female 82 Retiree $7889
$10384 Retiree 92 Male Married
Married 26 $194189 Female Pilot
$7579 Female 86 Retiree Married
Married Female 56 $135462 Lawyer
Female Married Businessman 98 $396310
Male 97 $4629 Retiree Married
Married $43998 Author 29 Male
$90365 Nurse 40 Married Female
Divorced 98 $10288 Retiree Female
58 Married Female Musician $342161
Single Clerk $31763 50 Female
Surgeon 50 Male $252299 Married
$7354 Retiree Single Male 77
Dentist Widowed Female $55042 28
$0 2 Unemployed Single Female
47 Male Widowed Researcher $44549
Female 6 Single $0 Student
Male 47 Single Clerk $56333
$11316 Retiree Female Widowed 75
Female Clerk Married 40 $23349
Married Nurse $77751 33 Female
34 Female Veterinarian Married $80316
$185173 35 Male Widowed Designer
Model 25 $277982 Married Male
$7188 Married Male Retiree 80
97 Retiree $6227 Married Male
64 Waiter Male Single $53985
Male $9650 96 Widowed Retiree
$0 16 Single Male Student
Student Male $0 7 Single
Cashier $34425 Single Female 38
Male 37 $56588 Married Researcher
Retiree Married Male 96 $6517
Male $8864 Retiree Single 85
Researcher Female 38 Married $92423
Pilot Married $138064 51 Male
Divorced Doctor $313895 Female 63
62 $336071 Single Female Surgeon
$108237 38 Driver Widowed Male
Male Janitor 52 Married $42448
$287931 62 Banker Male Single
Retiree $7927 82 Married Male
42 Divorced Female Photographer $271745
Female Divorced 57 $104132 Pilot
38 Veterinarian $46286 Female Married
Married 79 Female Businessman $17121
Married Female $6429 Retiree 78
1 Unemployed $0 Male Single
Married Female $46837 Chemist 36
Student 7 $300 Female Single
39 Married $91817 Zoologist Female
Single 11 Student $0 Female
Female Retiree $5792 Married 77
Single $10560 Male Retiree 91
Female Divorced Mechanic 35 $42057
Single Female Plumber 49 $43092
Student 15 Single Female $0
Waiter $23789 Married 62 Female
Single Unemployed Male $0 4
56 $114867 Married Salesman Female
Retiree Female $4456 93 Married
Female 18 Single Student $0
22 $0 Student Male Single
Student 22 Male Married $4571
Widowed Author 37 Female $127076
$417651 35 Male Professor Divorced
Male 53 $104863 Widowed Firefighter
$6172 Married Retiree Male 75
Married Retiree $8300 Male 78
$20451 Cashier Female Married 53
Retiree 79 Married $7890 Female
$287579 64 Married Male Musician
Widowed $4689 Retiree 95 Female
51 Female Teacher $90992 Single
$89394 42 Married Male Policeman
99 Retiree Single Female $6508
29 $91948 Female Researcher Married
Other Nanny Widowed 42 $13674
Professor Widowed 38 Male $179110
Retiree $9605 Female 89 Married
100 Male $11210 Single Retiree
Architect Male $447999 Married 25
Male 59 Single $56425 Teacher
Divorced 30 Male Actor $162405
Married Female Retiree $5135 93
Divorced $10726 Male 96 Retiree
$0 Unemployed 5 Male Single
49 Male Married $56997 Librarian
Retiree Married 65 $8822 Female
$15738 36 Female Janitor Widowed
Married Dentist 26 $75241 Female
Married $69017 51 Dentist Male
Single Unemployed $0 Male 5
Mechanic 47 $27701 Female Married
Widowed Retiree Male $8518 94
21 Single Female Student $0
Single $11273 96 Retiree Male
Student $0 Female 8 Single
$446824 Married Male Actor 48
Female $10016 Retiree Married 100
Student Female 8 Single $0
Student Single 8 Female $0
Retiree 94 Divorced Female $4037
Female $61432 Veterinarian Married 55
Male Married $58866 46 Nanny
26 Female $178489 Actor Married
Married 31 $127673 Female Model
Married $45358 Nurse 29 Male
34 Professor Female $199600 Married
Widowed Male $6650 Retiree 70
Married 70 Retiree Female $10381
Male $365302 Accountant 56 Single
Male Married 30 Plumber $42604
Male Divorced 41 Nurse $92558
Single Student 18 $0 Female
Retiree $8582 83 Married Male
Architect Male 37 Married $286938
41 Pilot Divorced Female $222222
Male $341920 Architect 30 Married
$6674 Retiree Divorced Female 66
$9692 Female 78 Divorced Retiree
Single Male 9 $0 Student
4 Single Unemployed $0 Male
Female $7505 Married 71 Retiree
$54835 47 Female Firefighter Married
Divorced Designer Male 62 $53723
Single 46 Male Nurse $71208
Male Retiree $5157 79 Married
$229767 Married Female 26 Lawyer
Female 80 Married $11921 Retiree
Single Student Female 7 $0
$399460 Accountant Male 48 Divorced
Female Retiree $9804 89 Married
Male $0 Single 13 Student
$126574 Male 38 Chef Married
Retiree $7143 Male Divorced 83
Divorced Male $0 Student 19
94 Male Businessman $141335 Married
Retiree 70 Male $6404 Single
$7237 Married Retiree 77 Female
96 Single $8266 Female Retiree
Single Female $80254 46 Driver
50 Male $19317 Plumber Married
52 Artist $304487 Male Divorced
Married 33 Female $64245 Soldier
Cashier 63 $36664 Married Male
Surgeon $298700 45 Male Married
86 $7500 Male Married Retiree
$10376 Single Retiree 92 Female
$46403 Male Married 57 Policeman
Male Student Single 16 $0
Chemist 36 Married $46386 Female
4 Male Single Unemployed $0
$64106 Businessman 79 Married Female
Male $9281 Single Retiree 88
66 Retiree Married Male $8533
54 Psychiatrist $211685 Married Male
23 $0 Female Student Single
Retiree $4186 93 Female Married
68 Male Married $4217 Retiree
Veterinarian Female Married $48788 56
40 $310154 Female Actor Single
33 $105395 Researcher Married Male
$266611 Married 26 Male Accountant
Retiree $5040 Male 81 Widowed
$153284 Male 26 Married Actor
$407869 50 Businessman Married Male
Married $4978 Male Retiree 85
7 Single Female $0 Student
34 Widowed Female Professor $352261
Student $0 13 Single Male
Female Single 35 $52927 Zoologist
Widowed Male $7285 Student 22
$0 Single Unemployed Female 1
Married $66405 Female 58 Teacher
88 Married $10793 Retiree Male
Female $310944 Judge 31 Single
Retiree 95 $8336 Male Married
Single $58124 Chef Female 45
Widowed Retiree 90 Male $7148
Single $100 Female Student 9
Married Nurse $72394 Male 49
Unemployed Male Single 5 $0
57 Teacher $94628 Married Male
42 Policeman Married Male $69276
Student $3954 Male 21 Single
$29113 Bookeeper Female 60 Single
$5766 Married 69 Male Retiree
96 $7544 Retiree Single Male
Married Student $0 Female 21
$11077 Other Single 67 Retiree
Married $106340 Soldier Female 54
$77492 Female Married Secretary 59
Married 20 Male Student $0
Female Divorced $18213 Florist 44
Married $5280 66 Male Retiree
Single 7 Student Male $0
Female $302853 Photographer Single 60
$7267 Married Female Retiree 99
79 $7031 Married Retiree Female
Divorced $8861 84 Female Retiree
$9828 Retiree Married Male 71
5 Male $0 Single Unemployed
$7966 Married 89 Female Retiree
Retiree Male Single $7819 73
Female Cashier Married $39387 59
Female $0 Student Single 10
76 Married Male $11983 Retiree
Carpenter Male Single 30 $184888
Secretary $108513 Female 58 Divorced
Female Married 47 $219017 Photographer
75 Male Retiree $10141 Single
Single $0 8 Student Male
33 $41774 Married Female Barista
91 $6662 Retiree Divorced Female
$10109 Male Married Retiree 69
Male $6432 71 Widowed Retiree
Male 14 Student Single $0
$3670 Single Female Student 21
61 Male $48301 Married Soldier
Single 84 Female Retiree $10706
Librarian 55 $32846 Married Female
$6041 Male 88 Single Retiree
Barista $58455 Married Female 46
62 Researcher $116302 Single Female
$8734 99 Female Retiree Married
$5854 100 Male Retiree Married
$58946 Male Firefighter 44 Single
47 Married $88971 Male Zoologist
26 Married Female $72912 Secretary
Divorced $106144 Male 30 Doctor
Female Retiree Divorced $4577 89
Single Female 17 Student $5007
Veterinarian Male $68591 31 Divorced
Male Married Retiree 65 $8540
51 Female Married $43371 Salesman
63 $90296 Male Firefighter Married
Single Male 13 $0 Student
Married Retiree Male 90 $5834
Other $103208 58 Dentist Married
Female 74 Retiree $9932 Divorced
Married Female Firefighter 39 $91399
Married Female Professor 62 $290380
92 Married Other Retiree $10900
Unemployed Single 1 $0 Male
Married Retiree 89 Female $6445
$10892 77 Widowed Male Retiree
Retiree Single $5577 93 Female
Married Firefighter $117642 Female 40
Married Male Veterinarian $114120 32
$4942 Retiree Male Single 91
Retiree Female $4211 94 Single
48 Accountant Female Married $300971
Veterinarian Married Female 32 $90490
6 Male Single Student $0
Female $411105 Professor 49 Married
Single Female Waiter 24 $7454
Soldier Female $75317 38 Married
Male Retiree 87 Married $6728
$4853 77 Divorced Retiree Female
$23670 41 Plumber Single Female
$0 Single Female 18 Student
Waiter $13506 Female 32 Divorced
$0 Female Student Single 10
Male Divorced 92 $8372 Retiree
Student 17 Single $0 Male
4 Male Unemployed Single $0
Married Male Judge 56 $321679
Unemployed Single 1 $0 Male
$4755 Retiree Single 81 Male
61 $88475 Female Married Teacher
23 Student $0 Male Single
$0 1 Single Female Unemployed
$0 9 Female Student Single
$47791 39 Married Male Nurse
Unemployed 1 $0 Single Female
Retiree Single 68 $10772 Male
$87530 Female Teacher 52 Widowed
$0 Student Single Female 11
Retiree $10025 Divorced 93 Male
Female 18 Student $0 Single
Male Student Single 17 $0
76 Female Retiree Widowed $4459
Divorced Male $357927 52 Psychiatrist
$379450 50 Single Lawyer Male
Model Female 57 $311628 Widowed
Married $4470 Female Retiree 67
Male $5686 Divorced 83 Retiree
Judge $385624 42 Divorced Male
Male Single Unemployed 4 $0
Male Married $4641 Retiree 96
$10147 Retiree 74 Married Male
Female $9440 Retiree 83 Married
$7851 Male Retiree Married 76
Student 22 $0 Single Female
Programmer Married $107836 58 Female
Surgeon $170453 Married 61 Female
17 Single $0 Female Student
Divorced $6307 Retiree Male 77
Other Divorced Businessman $409207 75
Female Student Single $500 6
Divorced Female $5209 Retiree 67
Unemployed 1 Male Single $0
88 Female Married Retiree $11327
Female Retiree Married 84 $11754
87 $8987 Female Married Retiree
Male $0 Single 7 Student
$347323 59 Lawyer Female Single
$6124 Male Retiree Married 71
Unemployed $0 Male Single 4
44 $115613 Policeman Married Female
Other $47913 Veterinarian Single 62
Policeman Married $46910 Male 38
Carpenter Divorced $222656 38 Female
Female Single Businessman $379733 74
Married Retiree 92 $6181 Female
Waiter Married 39 Female $56911
Programmer Male $78429 Widowed 26
$3753 Widowed Male Student 24
Female Divorced Plumber 31 $54912
43 $41707 Male Married Nanny
Single Female Student $0 11
Barista $36727 36 Male Single
Married Retiree Female 75 $5897
91 Retiree Married Female $10800
Single $268032 Female 53 Lawyer
Divorced $42020 Dentist 45 Male
Businessman Married 99 $388590 Female
Male 22 Student Single $0
Male Student Married $0 23
Male Single 17 $0 Student
Retiree $5716 97 Female Married
27 Married Male Bookeeper $12985
45 Soldier Male $113876 Married
80 Retiree $4806 Male Married
Male Secretary 56 $40058 Married
19 Student $7456 Single Female
Single Student 19 Male $0
Driver Male Married $117806 42
$7273 Male 75 Retiree Married
22 Female Student $0 Single
Single Male Dentist $80891 38
Divorced $210457 Banker 33 Female
Female Single 14 Student $0
Banker Divorced Female $378616 40
Student Single $0 11 Female
Married $7015 Retiree Male 69
65 $11887 Male Married Retiree
Unemployed Male 2 $0 Single
Retiree Male $4914 78 Widowed
$123357 Male 28 Married Artist
$99151 Married 50 Botanist Male
$78875 Widowed 32 Driver Female
Married 35 Researcher $59641 Female
$11767 Retiree 95 Married Male
$24100 Female Married Janitor 31
Single 47 Male Doctor $354750
Retiree $7160 91 Widowed Male
Male Single 16 $0 Student
Single $0 Student 21 Male
6 Female Single $0 Student
14 Female Single Student $0
Banker Male Divorced $338821 47
Firefighter $84623 Male Widowed 45
Musician Single 32 $368827 Female
Widowed $57234 33 Female Nurse
Single $0 5 Unemployed Female
Male Divorced Accountant 39 $440840
Male Retiree $9430 Single 97
$8379 Male Retiree Single 89
Retiree $8916 Male Widowed 91
Retiree Female Married 82 $5393
30 $232227 Architect Female Married
Businessman $188277 Single Male 38
Female Student $0 Single 13
Married Researcher $61625 56 Female
Nanny 30 $27586 Female Married
72 Male Retiree $7705 Divorced
21 Female Student Single $0
Male Divorced $346821 50 Doctor
Married Male $118062 37 Pilot
Married Male Retiree 68 $8789
Male $0 Unemployed Single 5
Male 13 Student Single $0
$10945 Male Retiree 84 Married
$21375 Married Nanny 52 Male
$0 Single Unemployed Male 1
Retiree $6203 65 Male Married
24 Single Male $11824 Clerk
Male 69 Married Retiree $10080
14 Male Student Single $0
$9466 74 Male Retiree Married
Architect $112533 48 Single Female
75 $8023 Single Male Retiree
$207999 Accountant 52 Married Female
Single Carpenter $275202 Female 30
Banker 58 $352757 Married Female
Retiree Widowed 92 Female $11313
$91472 Divorced Dentist Male 53
$7260 Female 22 Clerk Married
$5793 Male 16 Single Student
Chemist Male 56 $55598 Married
Married Botanist 26 Male $58182
Retiree Female $10231 Single 81
$0 Female Unemployed Single 5
Widowed Other 42 $44644 Teacher
92 Retiree Single Male $6637
73 Widowed Female Businessman $184407
Retiree $11007 Male 84 Married
Female Married $5291 100 Retiree
Female $7629 Retiree 72 Married
$0 Single Male 7 Student
Single $0 15 Male Student
Businessman 80 $181422 Male Divorced
Male Programmer 27 $79489 Married
Male $7688 Married Retiree 71
$61656 33 Artist Divorced Male
Female $9501 Retiree 74 Married
Female Chemist Married 29 $109693
69 Married Female Retiree $8039
Widowed Male 22 Student $0
80 Female Retiree Single $8881
$312095 30 Female Married Model
Male Divorced 72 $4707 Retiree
Single 8 Student Female $0
68 $8844 Female Retiree Widowed
28 Divorced Female Programmer $90788
Married $98186 36 Nurse Male
Plumber Female 23 $8876 Divorced
54 Nanny $33664 Male Single
Married $101796 Salesman Female 46
Male 75 Single Retiree $7589
65 Male Retiree Married $9524
60 Married Judge Male $306575
Plumber 32 Female $28352 Married
Single Male $8795 Retiree 97
$11365 Retiree Female 97 Married
Male 99 Married Retiree $5164
Single $0 9 Female Student
Retiree Married Male 85 $5115
Single Female $5151 Retiree 71
20 Male Student $0 Single
Veterinarian $85446 Divorced Female 25
22 Female Married $10728 Waiter
$6548 93 Female Married Retiree
93 $6524 Married Retiree Male
Male $78421 Researcher Married 57
$4259 Retiree Female Married 90
$47931 49 Policeman Married Female
Single Male Student 8 $0
$8151 90 Retiree Female Married
17 Female Single Student $0
75 $10658 Retiree Married Female
91 Retiree Female $5172 Divorced
$4663 Male Married Retiree 85
72 Female Married Retiree $5979
Male Policeman $72139 Divorced 48
Married Retiree 65 $4012 Female
Widowed Other 89 $4824 Retiree
60 Single Female Driver $74670
Musician Married 45 Female $187259
$0 Male Single Student 22
$77414 Married 29 Programmer Male
Female $343264 Judge 30 Married
Student Single $0 Female 7
71 Retiree $8859 Female Widowed
Male $59210 Married 43 Chef
Retiree $4476 72 Male Married
8 $0 Female Single Student
Female Married $363209 42 Chef
$8624 Male 96 Married Retiree
Widowed $10758 86 Retiree Male
$88747 Veterinarian Female Married 42
Retiree Divorced Male $9664 80
$399056 Male Widowed 37 Judge
$69598 53 Female Policeman Married
Male Retiree $5571 Single 70
Businessman $376326 Single 76 Other
Single Student 6 $0 Male
Widowed 68 $5876 Male Retiree
25 Married $356847 Designer Male
Actor Married 40 $299264 Female
Married Male Surgeon $421252 41
99 Married Retiree $8039 Male
Judge Male 41 Married $153741
Single Female Student 15 $859
Female Single $6571 83 Retiree
Female 28 Dentist $111811 Married
Male $10082 Married 71 Retiree
Unemployed Single Male $0 2
96 Male $369083 Married Businessman
Retiree Female 70 Single $8551
Female $10761 Married Retiree 98
Male Architect Married 28 $296111
Female Single 18 $0 Student
Married 32 Banker Female $385264
Single 74 $4290 Retiree Female
